date;heat_demand;temp_feed_flow;temp_back_flow;hp_P_max;hp_P_min;hp_c_1;hp_c_0;ice_P_max_woDH;ice_eta_el_max;ice_P_min_woDH;ice_eta_el_min;ice_H_L_FG_share_max;ice_H_L_FG_share_min;ice_Q_in;el_spot_price;gas_price;co2_price;ef_om;ef_dm
03.01.2019 13:00;3.188890003;67;38;1.357168001;0.523027527;3.62512117;-0.603199545;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;64.67;24.134;22.95;0.533125466;0.724980773
03.01.2019 14:00;3.362715131;67;38;1.357168001;0.523027527;3.62512117;-0.603199545;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;65.24;24.134;22.95;0.545709676;0.720940925
03.01.2019 15:00;3.843070594;67;38;1.357168001;0.523027527;3.62512117;-0.603199545;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;67.76;24.134;22.95;0.561495265;0.719638926
03.01.2019 16:00;4.554687167;68;38;1.361681944;0.526368781;3.572932605;-0.603293672;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;68.41;24.134;22.95;0.564785152;0.720649807
03.01.2019 17:00;5.446712459;72;38;1.386442527;0.539035383;3.333703477;-0.571657432;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;69.55;24.134;22.95;0.55623213;0.71936107
03.01.2019 18:00;6.417199409;79;38;1.443091091;0.55729642;2.856937893;-0.44878461;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;67.28;24.134;22.95;0.550355591;0.716551995
03.01.2019 19:00;5.661818343;79;38;1.443091091;0.55729642;2.856937893;-0.44878461;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;69.46;24.134;22.95;0.551381031;0.721146312
03.01.2019 20:00;3.953340984;70;38;1.373104405;0.532801855;3.456942779;-0.591818488;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;68.38;24.134;22.95;0.556753502;0.72691291
03.01.2019 21:00;3.18198801;66;38;1.352654058;0.519686273;3.677537902;-0.602673437;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;61.72;24.134;22.95;0.562722434;0.728968625
03.01.2019 22:00;3.3338762;67;38;1.357168001;0.523027527;3.62512117;-0.603199545;5.636050289;0.462171239;3.020527674;0.425712674;0.195275329;0.362029273;12.95649982;53.72;24.134;22.95;0.568587789;0.729574092
